,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
64,Codelco Gabriela Mistral,Chile,"Nueva Oriente 2696, Calama, El Loa, Chile",B - Mining and quarrying,,sunmark,nan,2013-01-01,flat plate collector,,39300.0,,27510.0,,short-term water storage,4300.0,hot water boiler,fuel oil,electro winning process,general process heating,B1) Heating of process(es) / process vessel(s),keep electrolyte at 50°C,,1.0,1,,0.0,85%-100%,,Soren Larsen,sla@sunmark.com,B - Mining and quarrying
65,COFICAB,México,"Av. Mina de Guadalupe #780, Parque Industrial Santa Fe IV, 36275 Silao, Gto.",C30 - Manufacture of other trasnport equipment,COFICAB MX S DE RL,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,25.0,22.5,17.5,Water,Short-term water storage,2.0,Steam boiler,Fuel oil,preheat of steam production,General process heating,A1) Heating of make-up water,60-90,60-90,7750.0,No Subsidies,25,310.0,65,,,,C30 - Manufacture of other trasnport equipment
66,Colas Geneva,Switzerland,Geneva,F - Construction,Colas Swiss Holding,srb energy,mri,2010-01-01,various collector,SRB Type c1,88.8,77.8,49.9,Thermo-oil,No solar energy storage,,Hot water boiler,Natural gas,heat asphaltic bitumen storages,Other process heating,B1) Heating of process(es) / process vessel(s),180 solar outlet; 160 solar inlet,215 max 160 min,0.01,No information available,0,0.0,5 (for 2011),IEA - Task 49,w.glatzl@aee.at,http://www.srbenergy.com/pages/calor-industrial--colas-swiss-holding?locale=en,F - Construction
67,Colas Yverdon-les-Bains,Switzerland,"Rue des Petits Champs, 1400 Yverdon-les-Bains",F - Construction,Colas Suisse SA,srb energy,mri,2014-01-01,various collector,SRB type c2,197.0,173.0,96.0,Thermo-oil,Other,90.0,Other,Natural gas,maintainging bitument into temperature>160°c and for building needs (space heat + dhw),Melting,B3) Heating of process heat storage,50-90°C/160-200°C,50/300,300000.0,No subsidies,,1522.84,,HEIG- VD - LESBAT,mircea.bunea@heig-vd.ch,www.lesbat.ch,F - Construction
68,Cologne Transit Authority (Kölner VKB),Germany,Köln am Rhein,H - Transporting and storage,Kölner VKB,ritter xl solar,ritter xl solar,2014-01-01,evacuated tube collector,XL 50 P,237.0,216.0,165.9,water,short-term water storage,25.2,,,heating of air for drying lack,drying,B2) Heating of process medium (please specify),,70°C target temperature from collectors to storage,1.0,not known,,0.0,,,Martin Willige,m.willige@ritter-xl-solar.com,H - Transporting and storage
69,COMFOSA SA de CV,México,"Lagos de Moreno, Jalisco, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,462.0,462.0,202.54,Water,Short-term water storage,15.2,Hot water boiler,Other,pelletized of birds,Other process heating,A2b) Heating of supply line,20/94,,118414.0,Firco subsidie,,256.31,,,,,C10 - Manufacture of food products
70,Conservas del Norte SA de CV,México,"Mochicahui, Sinaloa",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,660.0,264.0,104.81,Water,Short-term water storage,9.0,Hot water boiler,Other,boiler preheating,Cooking,A1) Heating of make-up water,25/95,,117365.0,Firco subsidie,,177.83,,,,,C10 - Manufacture of food products
71,Coopeldos,Costa Rica,Guanacaste,C10 - Manufacture of food products,Coopeldos,solarwall®,solarwall®,2005-01-01,air collector,,860.0,,602.0,,,1.0,,,coffee drying,drying,B1) Heating of process(es) / process vessel(s),40 - 45 (Assumed),40 - 45 (Assumed),1.0,no subsidies,0,0.0,,,John Hollick,jhollick@solarwall.com,C10 - Manufacture of food products
72,COPAG (rooftop),Morocco,"Ait Iaaza, Morocco",C10.5 - Manufacture of dairy products,COPAG,rackam,rackam,2015-01-01,parabolic trough collector,Rack 10 formely S10,110.0,,61.0,Thermo-Oil,No solar energy storage,,Hot water boiler,fuel oil,"pre heating, boiler",Pasteurization,A1) Heating of make-up water,80-90,,45556.0,0,,414.15,,Rackam,joseanne.bg@rackam.com,rackam.com,C10 - Manufacture of food products
73,Cremo SA,Switzerland,"Route de Moncor 6, 1752 Villars-sur-Glâne",C10.5 - Manufacture of dairy products,Cremo SA,nep solar ag,cremo sa,2013-01-01,parabolic trough collector,PolyTrough 1800,581.0,581.0,330.0,Water,No solar energy storage,,Hot water boiler,Fuel oil,"milk processing, coffee cream production",Sterilization,A2b) Heating of supply line,"a) 150°C, b) 110°C","170°C for high temperature process, 125°C for low temperature process",700000.0,0.25,20,1204.82,,NEP Solar AG,stefan.minder@nep-solar.com,www.nep-solar.com,C10 - Manufacture of food products
74,Daly Textile,China,Hangzhou,C13 - Manufacture of textiles,"High Fashion Ltd., Chinese textile company",shenzhen quir solar technology,shenzhen quir solar technology,2007-01-01,flat plate collector,,13000.0,,9000.0,water,,900.0,,,water heating for dyeing process,bleaching,C) Other integration points (please specify),hot water provided between 20 and 60 °C (most of the time 55 °C),55,1100000.0,84500,0,84.62,,,Mr Su,no@contact.com,C13 - Manufacture of textiles
75,Dausa Milk,India,"Jaipur Dairy, Jaipur, Rajasthan, Indien",C10.5 - Manufacture of dairy products,Jaipur Dairy,photon solar,nan,2010-01-01,flat plate collector,,110.0,,77.0,,Short-term water storage,5.0,hot water boiler,Fuel oil,washing of milk tanks and cans,Cleaning,B1) Heating of process(es) / process vessel(s),75-85,,1.0,30% on investment costs,,0.01,,AEE INTEC,w.glatzl@aee.at,http://www.soproindia.in/dausa-dairy-case-study.html,C10 - Manufacture of food products
76,Destilería 501 S.A de C.V,México,"El Arenal, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,198.0,198.0,94.6,Water,Short-term water storage,8.0,Hot water boiler,Other,boiler preheating,Evaporation and distillation,A2b) Heating of supply line,19/99,,59403.0,Firco subsidie,,300.02,,,,,C11 - Manufacture of beverages
77,dummy2,Austria,"Feldgasse 19, 8200 Gleisdorf","A - Agriculture, forestry and fishing",,nan,nan,,air collector,,1.0,,0.7,,,,,,nan,cleaning,A1) Heating of make-up water,,,1.0,1,,1.0,,,wg,w.glatzl@aee.at,"A - Agriculture, forestry and fishing"
78,Duran Coffee,Panama,Sona,C10 - Manufacture of food products,Duran Coffee,solarwall®,solarwall®,2004-01-01,air collector,,900.0,,630.0,,,1.0,,,coffee drying,drying,B1) Heating of process(es) / process vessel(s),40 - 45,,1.0,no subsidies,0,0.0,,,,,C10 - Manufacture of food products
79,Durango Dairy Company (Productos Lácteos COVBARS),México,"Av. Francisco Villa 1211, Villa de Guadalupe, Durango, Durango, Mexico. CP: 34040",C10.5 - Manufacture of dairy products,roductores Lácteos COVBARS S.P.R. DE R.L.,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,132.0,,92.4,Water,Short-term water storage,7.0,Steam boiler,Fuel oil,boiler preheating,Pasteurization,A1) Heating of make-up water,,20/95,40000.0,0.5,20 years,303.03,,,,,C10 - Manufacture of food products
80,Edmund Merl - Gourmet Foods,Germany,Brühl,C10 - Manufacture of food products,Edmund Merl GmbH & CO KG,priogo ag,priogo ag,2010-01-01,flat plate collector,,568.0,397.6,,,short-term water storage,30.0,,,rinsing and cleaning of bottle plants,cleaning,B2) Heating of process medium (please specify),60,20 - 60,207900.0,"30% - grant on the whole invest of 297,000",0,366.02,,,Wolfgang Glatzl,w.glatzl@aee.at,C10 - Manufacture of food products
81,Eisvogel Hubert Bernegger,Austria,Molln,"C10.2 - Processing and preserving of fish, crustaceans and molluscs",Eisvogel Hubert Bernegger,nan,nan,2009-01-01,flat plate collector,,44.0,,30.8,water/glycol,short-term water storage,2.5,,other,washing of the fish transportation trucks,cleaning,C) Other integration points (please specify),,,1.0,no subsidies,0,0.02,,,IEA - Task 49,oec@esv.or.at,C10 - Manufacture of food products
82,El NASR Pharamaceutical,Egypt,Cairo,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,el nasr pharamaceutical chemicals,"lotus solar technologies, fichtner solar gmbh",2003-01-01,parabolic trough collector,,1900.0,,1330.0,steam,no solar energy storage,,,,prodcution of process steam for a pharmaceutical company,general process heating,C) Other integration points (please specify),,173,1.0,no subsidies,0,,,,IEA - Task 49,info@fichtnersolar.com,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
83,Emmi Dairy Saignelégier,Switzerland,"Chemin du Finage 19, 2350 Saignelégier, Switzerland",C10.5 - Manufacture of dairy products,"Emmi AG, Fromagerie Tête de Moine",nep solar ag,d jaquier sàrl,2012-01-01,parabolic trough collector,,627.0,627.0,360.0,Water/glycol,Short-term water storage,15.0,Hot water boiler,Fuel oil,steam for different dairy processes,General process heating,A3) Heating of supply heat storage,,140 - 180,300000.0,Approx.. 200k€ from Swiss Federal Office of Energy Approx. 100k€ from Kanton Jura (not exactly disclosed),20,478.47,15,NEP Solar AG,stefan.minder@nep-solar.com,http://www.tetedemoine.ch/de/produktion/die-kaesereien/saignelegier,C10 - Manufacture of food products
84,Enfriadora Jaliciense S.A. de C.V.,México,"Carretera al puesto Km 6, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,62.72,Water,Short-term water storage,10.0,Hot water boiler,Other,cheese production,Other process heating,A2b) Heating of supply line,19/92,,32677.0,Subsidies,,247.55,,,,,C10 - Manufacture of food products
85,FASA Valladolid,Spain,"Calle de Caamaño, 126 47013 Valladolid, España","C29 - Manufacture of motor vehicles, trailers and semi-trailers",FASA Renault,nan,nan,2007-01-01,flat plate collector,Wagner Solar Euro C32 RH,243.6,,170.52,,Short-term water storage,15.0,Steam boiler,Natural gas,the solar thermal energy is used in the bodyworks sheet surface preparation for the weld ing process and before the painting,Surface treatment,B1) Heating of process(es) / process vessel(s),50 °C,,100000.0,50000,,410.51,50,IEA Task 49 - derived from SO-PRO project,w.glatzl@aee.at,http://www.solar-process-heat.eu/fileadmin/redakteure/So-Pro/Installations/ESCAN_Fasa.pdf,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
86,FIFA world cup solar cooled demonstration stadium,Qatar,"E Ring Road, Doha, Qatar",F - Construction,ES-Group Ltd.,industrial solar gmbh,delegated by customer,2010-01-01,fresnel collector,LF-11,2000.0,1408.0,790.0,water,other,40.0,steam boiler,other,cooling of demonstration stadium for fifa,Cooling processes,A3) Heating of supply heat storage,7°C/15°C,180°c,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,F - Construction
87,FengLi Fruit Drying,China,Zhengzhou,C10 - Manufacture of food products,FengLi Fruit Drying,solarwall®,solarwall®,2000-01-01,air collector,,55.7,,38.99,,,1.0,,,heating air for fruit drying,drying,C) Other integration points (please specify),50 - 70,50 - 70,1.0,no subsidies,0,0.02,,,John Hollick,jhollick@solarwall.com,C10 - Manufacture of food products
88,Flecks Brauhaus,Austria,"Rothleiten 64, 8130 Frohnleiten",C11 - Manufacture of beverages,Flecks Brauhaus,savosolar,nan,2014-01-01,flat plate collector,Savo 200,52.0,,36.4,water/glycol,,,,,nan,other process heating,A2b) Heating of supply line,,,1.0,no subsidies,0,0.02,,,Patrick Jansson,patrick.jansson@savosolar.com,C11 - Manufacture of beverages
89,Fleischwaren Berger,Austria,"Koglerstraße 8, 3443 Sieghartskirchen",C10.1 - Processing and preserving of meat and production of meat products,Fleischwaren Berger GmbH & Co. KG,solid gmbh,nan,2013-01-01,flat plate collector,,1067.0,,746.9,,,60.0,,,nan,cooking,A1) Heating of make-up water,30-95°C,,1.0,no subsidies,0,0.0,,,Sabine Putz,s.putz@solid.at,C10 - Manufacture of food products
90,Frito Lay,United States,Arizona,C10 - Manufacture of food products,Frito Lay,abengoa solar,abengoa solar,2008-01-01,parabolic trough collector,,5068.0,,3547.6,Steam,,1.0,,,steam for heating the oil to fry potato chips,General process heating,C) Other integration points,,243,1.0,No subsidies,0,0.0,,Abengoa Solar,communication@abengoa.com,,C10 - Manufacture of food products
91,Futtermittel Fixkraft,Austria,"Donaustraße 3, 4470 Enns",C10.9 - Manufacture of prepared animal feeds,Fixkraft-Futtermittel GmbH,gasokol gmbh,ing aigner,2012-01-01,flat plate collector,sunWin AF27VE4,324.0,,226.8,water/glycol,short-term water storage,6.0,steam boiler,natural gas,heating of makeup water,general process heating,A1) Heating of make-up water,,,1.0,40% KLIEN,0,0.0,,,Wolfgang Glatzl,w.glatzl@aee.at,C10 - Manufacture of food products
92,Gajraj Dry Cleaners,India,Ahmednagar,S - Other services activities,Gajraj Dry Cleaners,supreme rays solar system,supreme rays solar system,2006-01-01,various collector,Scheffler Dishes,240.0,240.0,168.0,,,,,Other,the system is integrated with its existing process,Other process heating,C) Other integration points,,180 - 190°C,19054.04,"11169,61",,79.39,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,S - Other services activities
93,Gamesa QUAKER PEPSICO Mexico,México,"Bilbao 12, Iztapalapa, San Juan Xalpa, 09850 Ciudad de México, CDMX",C10 - Manufacture of food products,Pepsico mexico S de RL de CV,modulo solar,modulo solar,2009-01-01,flat plate collector,HITEM BLUE,64.0,57.0,45.0,Water,Short-term water storage,4.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A3) Heating of supply heat storage,60/70,50/75,14500.0,No Subsidies,,226.56,75,,,,C10 - Manufacture of food products
94,Gangl Fruit Juices,Austria,Tieschen,C11 - Manufacture of beverages,Gangl Fruit Juices,söb & sun idk,aee intec,2004-01-01,flat plate collector,,60.0,,42.0,,,21.9,,,"bottle cleaning, pasturization",cleaning,C) Other integration points (please specify),95 - 105,75,34996.0,no subsidies,0,583.27,,,Wolfgang Glatzl,w.glatzl@aee.at,C11 - Manufacture of beverages
95,Gas Pressure Regulator Station Großseelheim,Germany,Großseelheim,"D - Electricity, gas, steam and air conditioning supply",Enertracting GmbH,fsave solartechnik gmbh,universität kassel,,flat plate collector,,355.0,,248.5,,short-term water storage,25.0,hot water boiler,natural gas,heating natural gas,other process heating,B1) Heating of process(es) / process vessel(s),30-60 °C,,165000.0,no information available,,464.79,,,Prof. Dr. Klaus Vajen,solar@uni-kassel.de,"D - Electricity, gas, steam and air conditioning supply"
96,Gas Pressure Regulator Station Rankweil,Austria,"Rankweil, Austria","D - Electricity, gas, steam and air conditioning supply",,paradigma austria,paradigma austria,2011-01-01,evacuated tube collector,Paradigma azzurro cpc 45,40.0,,28.0,water,no solar energy storage,,hot water boiler,natural gas,preheating piped natural gas prior to expansion,other process heating,B1) Heating of process(es) / process vessel(s),up to 80 °C,,0.01,no information available,,0.0,,,Wolfgang Glatzl,w.glatzl@aee.at,"D - Electricity, gas, steam and air conditioning supply"
97,Gatorade,United States,"Phoenix, Arizona",C11 - Manufacture of beverages,Pepsi Cola,solid gmbh,solid gmbh,2008-01-01,flat plate collector,,4221.0,3793.0,2954.7,Water/glycol,Short-term water storage,114.0,,,preheating the water for soft drink production,General process heating,A3) Heating of supply heat storage,max 35 °C,,1.0,Mixture between federal and state subsidies; detailed info pls. find at http://www.dsireusa.org/incentives/index.cfm?getRE=1?re=undefined&ee=1&spv=0&st=0&srp=1&state=AZ,0,0.0,,S.O.L.I.D GmbH,s.putz@solid.at,http://www.solid.at/images/stories/pdf/ref.d.%20gatorade%20usa.pdf,C11 - Manufacture of beverages
98,Gatorade Mexico,México,"México - Queretaro Km 37.4, Parque Industrial Cuamatla, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx",C11 - Manufacture of beverages,Pepsico mexico S de RL de CV,modulo solar,modulo solar,2009-01-01,flat plate collector,HIPER TINOX,56.0,50.0,39.0,Water,Short-term water storage,3.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60/70,50/75,12500.0,No Subsidies,,223.21,70,,,,C11 - Manufacture of beverages
99,General Electric Queretaro,México,"Santiago de Queretaro, México",C27 - Manufacture of electrical equipment,General Electric Infraestructure Queretaro,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,24.0,21.0,16.8,Water/Glycol,Short-term water storage,2.0,Steam boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,60-90,60-90,7400.0,No Subsidies,25,308.33,50,,,,C27 - Manufacture of electrical equipment
100,Gerberei Kölblinger,Austria,Nußdorf/Attersee,C15 - Manufacture of leather and related products,Gerberei Kölblinger,nan,nan,2010-01-01,flat plate collector,,77.0,,53.9,water/glycol,short-term water storage,40.0,,,hot water for the wet process of leather tanning,retanning,C) Other integration points (please specify),,,1.0,no subsidies,0,0.01,,,IEA - Task 49,oec@esv.or.at,C15 - Manufacture of leather and related products
101,Gerhard RAUCH Ges.mbH,Austria,"Gewerbepark 1, 3452 Trasdorf",C24 - Manufacture of basic metals,Gerhard RAUCH Ges.mbH,gasokol gmbh,gartner,2009-01-01,flat plate collector,tecSol UP,264.0,,184.8,water/glycol,other,12.0,other,other,nan,cooling processes,C) Other integration points (please specify),,,1.0,no subsidies,0,0.0,,,Christian Kloibhofer,christian.kloibhofer@gasokol.at,C24 - Manufacture of basic metals
102,GICB Wine Cellars,France,"Route du Balcon de Madeloc, 66652 Banyuls",C11 - Manufacture of beverages,GICB Wine Cellars,tecsol,tecsol,1991-01-01,evacuated tube collector,Giordano Cortec 9 tubes 77 capteurs,216.0,,151.2,water,short-term water storage,1.0,,,cooling of wine cellar (absorption chiller 52kw capacity),cooling processes,C) Other integration points (please specify),70 - 95,75 - 95,109213.0,20 % national subsidy ADEME ; 17 % regional subsidy Languedoc - Roussillon region,25,505.62,,,Daniel Mugnier,daniel.mugnier@tecsol.fr,C11 - Manufacture of beverages
103,Gillich Galavanic,Austria,Graz,C24 - Manufacture of basic metals,Gillich Galavanic,isl gmbh,isl gmbh,1999-01-01,evacuated tube collector,,9.0,,6.3,,,1.5,,,degreasing and removal of lacquer from metal parts in baths,extraction,C) Other integration points (please specify),,75,1.0,no subsidies,0,0.11,,,IEA - Task 49,office@isl.at,C24 - Manufacture of basic metals
104,Glaxo smithkline mexico,México,"Calle 21 Este 104, Jiutepec, 62578 Jiutepec, Mor.",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Glaxo SmithkliNE,modulo solar,modulo solar,2011-01-01,flat plate collector,HIPER TINOX,360.0,340.0,252.0,Water,Short-term water storage,25.0,Steam boiler,Fuel oil,heat for production of emulsion,General process heating,A3) Heating of supply heat storage,70/80,50/85,90000.0,No Subsidies,25,250.0,75,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
105,Goess Brewery,Austria,"Brauhausgasse 1, 8700 Leoben",C11 - Manufacture of beverages,Brauerei Göss,"aee intec, sunmark",aee intec,2013-01-01,flat plate collector,,1520.0,1375.0,1064.0,water/glycol,short-term water storage,200.0,district heating,waste heat,mashing process,other process heating,B1) Heating of process(es) / process vessel(s),80-90°C,,319343.0,0.5,,210.09,,,Wolfgang Glatzl,w.glatzl@aee.at,C11 - Manufacture of beverages
106,Golan Winery,Israel,"Kazerin, Israel",C10 - Manufacture of food products,TIGI Solar,tigi solar,tigi solar,2015-01-01,flat plate collector,TIGI HC1,244.0,227.0,246.0,water/glycol,short-term water storage,30.0,hot water boiler,fuel oil,barrel washing,cleaning,A2b) Heating of supply line,85 deg C,up to 95 deg C,200000.0,0.2,20,819.67,0.72,,,,C10 - Manufacture of food products
107,Golden care retirement home,Israel,"Nes Ziona, Israel",Q - Human health and social work activities,TIGI Solar,tigi solar,tigi solar,2016-01-01,flat plate collector,TIGI HC1,156.7,135.7,154.0,water,short-term water storage,15.0,hot water boiler,other,heating showers for retirement home for showers of 300 people every morning,cleaning,A2b) Heating of supply line,60-65,40-90,200000.0,0,20,1276.32,70,,,,Q - Human health and social work activities
108,Grammer Solar Argentinia,Argentina,Argentina,C12 - Manufacture of tobacco products,,grammer solar gmbh,nan,1980-01-01,air collector,,737.0,,515.9,air,other,1.0,,,drying of tobacco,drying,B2) Heating of process medium (please specify),,,1.0,no subsidies,0,0.0,,,Rudolf Ettl,r.ettl@grammer-solar.de,C12 - Manufacture of tobacco products
109,Grammer Solar Vietnam,Vietnam,Vietnam,C13 - Manufacture of textiles,,solosolar und grammer solar,nan,2012-01-01,air collector,,480.0,,336.0,Air,No solar energy storage,1.0,,,textil production process,General process heating,B2) Heating of process medium,,,140000.0,No subsidies,25,291.67,,Grammer Solar,r.ettl@grammer-solar.de,http://www.grammer-solar.com,C13 - Manufacture of textiles
110,Grupo BIMBO,México,"Av. San Pablo Xalpa 520, Azcapotzalco, Reynosa Tamaulipas, 02200 Ciudad de México, CDMX",C10 - Manufacture of food products,Grupo Bimbo SAB de CV,modulo solar,modulo solar,2007-01-01,flat plate collector,HIPER TINOX,232.0,220.0,162.0,Water,Short-term water storage,15.0,Steam boiler,Natural gas,preheat of hot water,General process heating,A3) Heating of supply heat storage,60/80,55/85,60000.0,No Subsidies,25,258.62,65,,,,C10 - Manufacture of food products
111,Grupo Mirasol de Occidente SA de CV,México,"Capilla de Guadalupe, Jalisco, Mexico",C10.1 - Processing and preserving of meat and production of meat products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,396.0,158.4,64.83,Water,Short-term water storage,5.0,Hot water boiler,Other,nan,Cooking,A1) Heating of make-up water,21/95,,59449.0,Firco subsidie,,150.12,,,,,C10 - Manufacture of food products
112,Grupo Mosa la Luz SA de CV,México,"Valle de Santiago, Guanajuato",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,693.0,227.2,92.61,Water,Short-term water storage,9.6,Hot water boiler,Other,boiler preheating,cooking,A1) Heating of make-up water,55/110,,103491.0,No Subsidies,,149.34,,,,,C10 - Manufacture of food products
113,Guetermann polygal,México,"Calle 9 Este No. 86, Industrial Civac, 62500 Jiutepec, Mor.",C13 - Manufacture of textiles,Guetermann Polygal Mexicana SA de CV,modulo solar,modulo solar,2001-01-01,flat plate collector,MS 2.5 BLUE,450.0,415.0,315.0,Water,Short-term water storage,20.0,Hot water boiler,Other,preheat of hot water,General process heating,A1) Heating of make-up water,55/85,50/90,91000.0,No Subsidies,25,202.22,60,,,,C13 - Manufacture of textiles
114,Habau - Concrete Component Production,Austria,"Perg, Austria",C23 - Manufacture of other non-metallic mineral products,HABAU Hoch- und Tiefbauges.m.b.H,gasokol gmbh,fin  future is now,2014-01-01,flat plate collector,gigaSol OR,1500.0,,1050.0,,other,80.0,,,"1) heating of formwork of wooden planks, 2) drying of concrete components",drying,B1) Heating of process(es) / process vessel(s),concrete between 16 and 25 °C,,1.0,1,,0.0,100,,Wolfgang Glatzl (preliminary),w.glatzl@aee.at,C23 - Manufacture of other non-metallic mineral products
115,Hammerer,Austria,Kirchdorf/Inn,S - Other services activities,Hammerer,teufel & schwarz,teufel & schwarz,2001-01-01,flat plate collector,,180.0,,126.0,,,6.0,,,"vehicle washing, space heating",cleaning,C) Other integration points (please specify),20 - 60,20 - 60,1.0,no subsidies,0,0.01,,,Wolfgang Glatzl,w.glatzl@aee.at,S - Other services activities
116,Harita Seatings Systems Limited,India,"Hosur - Thally Road, Hosur, Bagalkot - 587114, Belagondapalli",C30 - Manufacture of other transport equipment,Harita Seatings Systems Limited,aspiration energy,aspiration energy,2015-01-01,evacuated tube collector,,754.8,,360.0,Water,No solar energy storage,,Other,Other,cleaning automobile parts before painting,Cleaning,B1) Heating of process(es) / process vessel(s),55-60 °C,70-95°C,191200.0,26640,20 years,253.31,,Aspiration Energy,viji.suresh@aspirationenergy.com,www.aspirationenergy.com,C30 - Manufacture of other transport equipment
117,Harlequin,Spain,Alhaurín de la torre-Malaga,C13 - Manufacture of textiles,Harlequin,garol,soysur alora sl,2002-01-01,flat plate collector,GAROL I,47.15,,33.0,,Short-term water storage,5.0,,,nan,Painting,A1) Heating of make-up water,,,32942.0,No information available,,698.66,68,IEA Task 49,w.glatzl@aee.at,http://wiki.zero-emissions.at/index.php?title=Harlequin_%28Malaga%29,C13 - Manufacture of textiles
118,Hatsun Dairy,India,"Salem, Tamil Nadu, Indien",C10.5 - Manufacture of dairy products,Hatsun Agro Products Ltd.,protarget ag,protarget ag,2018-01-01,parabolic trough collector,,576.0,570.0,320.0,Thermo-oil,steam accumulation tank,,steam boiles,coal,steam supply of a dairy,drying,A2b) Heating of supply line,,,150000.0,0.3,,260.42,,Protarget AG,info@protarget-ag.de,www.protarget-ag.com,C10 - Manufacture of food products
119,Hellenic Copper Mines,Cyprus,"HELLENIC COOPER MINES LTD, Nicosia, Cyprus",B - Mining and quarrying,Hellenic Copper Mines,mei,mei,2013-01-01,flat plate collector,,760.0,,532.0,water,other,100.0,other,other,"industrial mining process( leaching, sxew)",extraction,B2) Heating of process medium (please specify),,20-50°C,400000.0,50000,25,526.32,,Millennium Energy Industries (MEI),fadims@millenniumenergy.co.uk,http://www.millenniumenergy.co.uk/,B - Mining and quarrying
120,Heshan Bestway Leather,China,Heshan,C15 - Manufacture of leather and related products,Heshan Bestway Leather,aschoff solar,aschoff solar,2012-01-01,evacuated tube collector,,630.0,,441.0,water,short-term water storage,60.0,,,solar heat for retanningprocess,retanning,B2) Heating of process medium (please specify),70 °C for retanning,,120000.0,no subsidies,0,190.48,,,O. Mumper,o.mumper@aschoff-solar.com,C15 - Manufacture of leather and related products
121,Hindusthan Vidyut Products,India,Chandigarh,C27 - Manufacture of electrical equipment,Hindusthan Vidyut Products,taylormade solar solutions pvt ltd,taylormade solar solutions pvt ltd,2012-01-01,various collector,Scheffler Dishes,320.0,320.0,224.0,,,,,Other,vulcanizing of cables,Other process heating,C) Other integration points,,85,50621.0,"21687,21",,158.19,,CSH India,contact@cshindia.in,http://www.cshindia.in/,C27 - Manufacture of electrical equipment
122,Hofigal S.A.,Romania,Sec. 4 Bukarest,"A - Agriculture, forestry and fishing",Hofigal S.A.,grammer solar gmbh,prody solar,2006-01-01,air collector,,60.0,,42.0,air,no solar energy storage,1.0,,,"drying of medicinal plants, herbs and fruits",drying,B2) Heating of process medium (please specify),,,28000.0,no subsidies,25,466.67,,,,,"A - Agriculture, forestry and fishing"
123,Hofmühl Brewery,Germany,Eichstätt,C11 - Manufacture of beverages,Hofmühl Brewery,solarbayer gmbh,"solarbayer gmbh, krones ag",2009-01-01,evacuated tube collector,,735.0,,514.5,,,110.0,,,"brewing water, bottle washing, defrosting and space heating",other process heating,C) Other integration points (please specify),"90 for bottle bashing, 60 - 90 for brewing and domestic Use, 45 for space heating and defrosting",20 - 110,0.01,no subsidies,0,0.0,,,IEA - Task 49,info@solarbayer.de,C11 - Manufacture of beverages
124,Honeywell Technology Solutions,India,"Hyderabad, Telangana 500047, Indien",C - Manufacturing,Honeywell Technology Solutions,thermax,thermax,2013-01-01,parabolic trough collector,,821.0,821.0,574.7,,,,,,space cooling of production hall,Cooling of production halls,A2b) Heating of supply line,,165,193552.0,88150,,235.75,,CSH India,contact@cshindia.in,,C - Manufacturing
125,Hongxin Aquaculture,China,"Hongxing, Ruian","A - Agriculture, forestry and fishing",Hongxing,himin solar co ltd,nan,2011-01-01,evacuated tube collector,,360.0,,252.0,,,,,,water heating for fish farm,other process heating,C) Other integration points (please specify),,,0.01,no information available,,0.0,,,Daniel Hui,solartrade@himin.com,"A - Agriculture, forestry and fishing"
